country,country_code,year,co2_per_capita
Brazil,BRA,2024,2.2783718
Canada,CAN,2000,18.344023
Canada,CAN,2001,17.90825
Canada,CAN,2002,17.892685
Canada,CAN,2003,18.255484
Canada,CAN,2004,17.93459
Canada,CAN,2005,17.583017
Canada,CAN,2006,17.287231
Canada,CAN,2007,17.827667
Canada,CAN,2008,17.166817
Canada,CAN,2009,15.997278
Canada,CAN,2010,16.20929
Canada,CAN,2011,16.287806
Canada,CAN,2012,16.086172
Canada,CAN,2013,16.11036
Canada,CAN,2014,15.853792
Canada,CAN,2015,15.655382
Canada,CAN,2016,15.231254
Canada,CAN,2017,15.394822
Canada,CAN,2018,15.420052
Canada,CAN,2019,15.324565
Canada,CAN,2020,13.732821
Canada,CAN,2021,13.977163
Canada,CAN,2022,14.107159
Canada,CAN,2023,13.880179
Canada,CAN,2024,13.419917
China,CHN,2000,2.8700879
China,CHN,2001,2.912365
China,CHN,2002,3.184619
China,CHN,2003,3.7351773
China,CHN,2004,4.001966
China,CHN,2005,4.4899764
China,CHN,2006,4.921031
China,CHN,2007,5.2606664
China,CHN,2008,5.6172485
China,CHN,2009,5.8706574
China,CHN,2010,6.370445
China,CHN,2011,6.998823
China,CHN,2012,7.131918
China,CHN,2013,7.2097993
China,CHN,2014,7.187588
China,CHN,2015,7.0609546
China,CHN,2016,6.9428844
China,CHN,2017,7.080384
China,CHN,2018,7.2915606
China,CHN,2019,7.5260706
China,CHN,2020,7.64075
China,CHN,2021,7.910899
China,CHN,2022,8.217776
China,CHN,2023,8.556261
China,CHN,2024,8.65839
Egypt,EGY,2000,1.9544393
Egypt,EGY,2001,1.6928145
Egypt,EGY,2002,1.6836745
Egypt,EGY,2003,1.9261036
Egypt,EGY,2004,1.9114492
Egypt,EGY,2005,2.0583456
Egypt,EGY,2006,2.1570544
Egypt,EGY,2007,2.245012
Egypt,EGY,2008,2.2810254
Egypt,EGY,2009,2.345589
Egypt,EGY,2010,2.2725692
Egypt,EGY,2011,2.4335008
Egypt,EGY,2012,2.28126
Egypt,EGY,2013,2.2981055
Egypt,EGY,2014,2.3301265
Egypt,EGY,2015,2.2757032
Egypt,EGY,2016,2.411969
Egypt,EGY,2017,2.443332
Egypt,EGY,2018,2.2889705
Egypt,EGY,2019,2.1762276
Egypt,EGY,2020,2.2533324
Egypt,EGY,2021,2.4048865
Egypt,EGY,2022,2.2189891
Egypt,EGY,2023,2.1847339
Egypt,EGY,2024,2.2170217
France,FRA,2000,6.849684
France,FRA,2001,6.8707247
France,FRA,2002,6.746978
France,FRA,2003,6.799168
France,FRA,2004,6.7686367
France,FRA,2005,6.756068
France,FRA,2006,6.5539103
France,FRA,2007,6.3502436
France,FRA,2008,6.2088747
France,FRA,2009,5.8853593
France,FRA,2010,5.945996
France,FRA,2011,5.572035
France,FRA,2012,5.59021
France,FRA,2013,5.591334
France,FRA,2014,5.067184
France,FRA,2015,5.116293
France,FRA,2016,5.1545954
France,FRA,2017,5.182955
France,FRA,2018,4.93138
France,FRA,2019,4.812466
France,FRA,2020,4.271517
France,FRA,2021,4.649748
France,FRA,2022,4.4555726
France,FRA,2023,4.067842
France,FRA,2024,3.969368
Germany,DEU,2000,10.990293
Germany,DEU,2001,11.1706505
Germany,DEU,2002,10.952268
Germany,DEU,2003,10.893722
Germany,DEU,2004,10.677804
Germany,DEU,2005,10.57788
Germany,DEU,2006,10.849607
Germany,DEU,2007,10.407971
Germany,DEU,2008,10.561389
Germany,DEU,2009,9.760688
Germany,DEU,2010,10.22758
Germany,DEU,2011,9.95007
Germany,DEU,2012,10.060916
Germany,DEU,2013,10.263195
Germany,DEU,2014,9.739761
Germany,DEU,2015,9.756902
Germany,DEU,2016,9.642186
Germany,DEU,2017,9.441122
Germany,DEU,2018,9.101415
Germany,DEU,2019,8.480803
Germany,DEU,2020,7.738692
Germany,DEU,2021,8.100614
Germany,DEU,2022,7.942359
Germany,DEU,2023,7.022808
Germany,DEU,2024,6.7688236
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
Indonesia,IDN,2000,1.3007095
Indonesia,IDN,2001,1.4457434
Indonesia,IDN,2002,1.387741
Indonesia,IDN,2003,1.5064515
Indonesia,IDN,2004,1.5035917
Indonesia,IDN,2005,1.5045645
Indonesia,IDN,2006,1.4805014
Indonesia,IDN,2007,1.634917
Indonesia,IDN,2008,1.5214325
Indonesia,IDN,2009,1.6389457
Indonesia,IDN,2010,1.8082032
Indonesia,IDN,2011,2.0060833
Indonesia,IDN,2012,2.041047
Indonesia,IDN,2013,1.9285924
Indonesia,IDN,2014,1.9238018
Indonesia,IDN,2015,2.1052775
Indonesia,IDN,2016,2.0707185
Indonesia,IDN,2017,2.1355352
Indonesia,IDN,2018,2.249951
Indonesia,IDN,2019,2.440643
Indonesia,IDN,2020,2.268087
Indonesia,IDN,2021,2.2870014
Indonesia,IDN,2022,2.7185707
Indonesia,IDN,2023,2.7111824
Indonesia,IDN,2024,2.8650963
Japan,JPN,2000,9.920687
Japan,JPN,2001,9.790459
Japan,JPN,2002,10.004505
Japan,JPN,2003,10.055865
Japan,JPN,2004,10.007541
Japan,JPN,2005,10.056906
Japan,JPN,2006,9.87084
Japan,JPN,2007,10.141284
Japan,JPN,2008,9.587431
Japan,JPN,2009,9.050865
Japan,JPN,2010,9.447968
Japan,JPN,2011,9.845555
Japan,JPN,2012,10.178457
Japan,JPN,2013,10.271204
Japan,JPN,2014,9.885529
Japan,JPN,2015,9.58534
Japan,JPN,2016,9.436406
Japan,JPN,2017,9.321171
Japan,JPN,2018,8.971074
Japan,JPN,2019,8.698248
Japan,JPN,2020,8.212569
Japan,JPN,2021,8.422242
Japan,JPN,2022,8.237319
Japan,JPN,2023,7.9352145
Japan,JPN,2024,7.7724743
Kenya,KEN,2000,0.3389006
Kenya,KEN,2001,0.29170913
Kenya,KEN,2002,0.23963098
Kenya,KEN,2003,0.1995752
Kenya,KEN,2004,0.2195501
Kenya,KEN,2005,0.23617308
Kenya,KEN,2006,0.25923568
Kenya,KEN,2007,0.25591367
Kenya,KEN,2008,0.25757587
Kenya,KEN,2009,0.30153793
Kenya,KEN,2010,0.28502947
Kenya,KEN,2011,0.28573626
Kenya,KEN,2012,0.25623727
Kenya,KEN,2013,0.27036667
Kenya,KEN,2014,0.2869488
Kenya,KEN,2015,0.3230555
Kenya,KEN,2016,0.33836323
Kenya,KEN,2017,0.3288992
Kenya,KEN,2018,0.3386544
Kenya,KEN,2019,0.35464606
Kenya,KEN,2020,0.3828149
Kenya,KEN,2021,0.38688725
Kenya,KEN,2022,0.37868083
Kenya,KEN,2023,0.38283524
Kenya,KEN,2024,0.37611777
Mexico,MEX,2000,3.968903
Mexico,MEX,2001,4.0708127
Mexico,MEX,2002,4.040439
Mexico,MEX,2003,4.2335887
Mexico,MEX,2004,4.201275
Mexico,MEX,2005,4.379822
Mexico,MEX,2006,4.4243016
Mexico,MEX,2007,4.353924
Mexico,MEX,2008,4.2852488
Mexico,MEX,2009,4.109744
Mexico,MEX,2010,4.0168395
Mexico,MEX,2011,4.1937428
Mexico,MEX,2012,4.292929
Mexico,MEX,2013,4.1862144
Mexico,MEX,2014,4.040969
Mexico,MEX,2015,3.9598958
Mexico,MEX,2016,3.9167483
Mexico,MEX,2017,3.7634232
Mexico,MEX,2018,3.760188
Mexico,MEX,2019,3.7231612
Mexico,MEX,2020,3.382808
Mexico,MEX,2021,3.500541
Mexico,MEX,2022,3.5284045
Mexico,MEX,2023,3.5321004
Mexico,MEX,2024,3.5227275
New Zealand,NZL,2000,8.352687
New Zealand,NZL,2001,8.827948
New Zealand,NZL,2002,8.736571
New Zealand,NZL,2003,9.004052
New Zealand,NZL,2004,8.767515
New Zealand,NZL,2005,9.045037
New Zealand,NZL,2006,8.920358
New Zealand,NZL,2007,8.614808
New Zealand,NZL,2008,8.795646
New Zealand,NZL,2009,8.037123
New Zealand,NZL,2010,8.001102
New Zealand,NZL,2011,7.8127985
New Zealand,NZL,2012,8.141623
New Zealand,NZL,2013,7.9075756
New Zealand,NZL,2014,7.8265586
New Zealand,NZL,2015,7.76004
New Zealand,NZL,2016,7.2400074
New Zealand,NZL,2017,7.4097495
New Zealand,NZL,2018,7.281771
New Zealand,NZL,2019,7.357706
New Zealand,NZL,2020,6.727745
New Zealand,NZL,2021,6.773412
New Zealand,NZL,2022,6.229061
New Zealand,NZL,2023,6.1010647
New Zealand,NZL,2024,6.229343
Nigeria,NGA,2000,0.7661745
Nigeria,NGA,2001,0.7717245
Nigeria,NGA,2002,0.6735968
Nigeria,NGA,2003,0.7290653
Nigeria,NGA,2004,0.67321587
Nigeria,NGA,2005,0.7010616
Nigeria,NGA,2006,0.60436517
Nigeria,NGA,2007,0.53612256
Nigeria,NGA,2008,0.5488045
Nigeria,NGA,2009,0.47535717
Nigeria,NGA,2010,0.67239475
Nigeria,NGA,2011,0.73588383
Nigeria,NGA,2012,0.62499523
Nigeria,NGA,2013,0.648446
Nigeria,NGA,2014,0.6668816
Nigeria,NGA,2015,0.57965857
Nigeria,NGA,2016,0.5955475
Nigeria,NGA,2017,0.5619865
Nigeria,NGA,2018,0.52106166
Nigeria,NGA,2019,0.61034876
Nigeria,NGA,2020,0.58365196
Nigeria,NGA,2021,0.6762326
Nigeria,NGA,2022,0.58902264
Nigeria,NGA,2023,0.5677305
Nigeria,NGA,2024,0.5837386
Peru,PER,2000,1.0781703
Peru,PER,2001,0.936789
Peru,PER,2002,0.9378315
Peru,PER,2003,0.9033261
Peru,PER,2004,1.0233892
Peru,PER,2005,1.0789979
Peru,PER,2006,0.9991095
Peru,PER,2007,1.2115691
Peru,PER,2008,1.2386353
Peru,PER,2009,1.364297
Peru,PER,2010,1.4613583
Peru,PER,2011,1.4443991
Peru,PER,2012,1.5400378
Peru,PER,2013,1.4326204
Peru,PER,2014,1.6399359
Peru,PER,2015,1.6154937
Peru,PER,2016,1.7072773
Peru,PER,2017,1.7470704
Peru,PER,2018,1.7560439
Peru,PER,2019,1.8079982
Peru,PER,2020,1.4384526
Peru,PER,2021,1.8084831
Peru,PER,2022,1.9352938
Peru,PER,2023,1.9519441
Peru,PER,2024,2.0529242
South Africa,ZAF,2000,8.022367
South Africa,ZAF,2001,7.8122125
South Africa,ZAF,2002,7.4241047
South Africa,ZAF,2003,8.338209
South Africa,ZAF,2004,9.171435
South Africa,ZAF,2005,8.409871
South Africa,ZAF,2006,8.935195
South Africa,ZAF,2007,9.203381
South Africa,ZAF,2008,9.677716
South Africa,ZAF,2009,9.173127
South Africa,ZAF,2010,8.928475
South Africa,ZAF,2011,8.949351
South Africa,ZAF,2012,8.579701
South Africa,ZAF,2013,8.343052
South Africa,ZAF,2014,8.663356
South Africa,ZAF,2015,8.064963
South Africa,ZAF,2016,7.9820704
South Africa,ZAF,2017,7.6344075
South Africa,ZAF,2018,7.7417293
South Africa,ZAF,2019,7.899718
South Africa,ZAF,2020,7.1875925
South Africa,ZAF,2021,7.14546
South Africa,ZAF,2022,6.8738866
South Africa,ZAF,2023,6.9069405
South Africa,ZAF,2024,6.8715796
Sweden,SWE,2000,6.187081
Sweden,SWE,2001,6.2704806
Sweden,SWE,2002,6.3454914
Sweden,SWE,2003,6.3873878
Sweden,SWE,2004,6.2740436
Sweden,SWE,2005,5.9566827
Sweden,SWE,2006,5.9082747
Sweden,SWE,2007,5.7801905
Sweden,SWE,2008,5.506071
Sweden,SWE,2009,5.069861
Sweden,SWE,2010,5.654432
Sweden,SWE,2011,5.1976295
Sweden,SWE,2012,4.8959537
Sweden,SWE,2013,4.698226
Sweden,SWE,2014,4.4742975
Sweden,SWE,2015,4.419636
Sweden,SWE,2016,4.3643203
Sweden,SWE,2017,4.211175
Sweden,SWE,2018,4.1134505
Sweden,SWE,2019,3.9665341
Sweden,SWE,2020,3.5371203
Sweden,SWE,2021,3.7027159
Sweden,SWE,2022,3.4653375
Sweden,SWE,2023,3.4789953
Sweden,SWE,2024,3.5916543
United Kingdom,GBR,2000,9.635275
United Kingdom,GBR,2001,9.748509
United Kingdom,GBR,2002,9.40991
United Kingdom,GBR,2003,9.555585
United Kingdom,GBR,2004,9.530167
United Kingdom,GBR,2005,9.412128
United Kingdom,GBR,2006,9.301154
United Kingdom,GBR,2007,9.09334
United Kingdom,GBR,2008,8.785364
United Kingdom,GBR,2009,7.9049363
United Kingdom,GBR,2010,8.124634
United Kingdom,GBR,2011,7.3959785
United Kingdom,GBR,2012,7.62153
United Kingdom,GBR,2013,7.4175463
United Kingdom,GBR,2014,6.764833
United Kingdom,GBR,2015,6.461413
United Kingdom,GBR,2016,6.061766
United Kingdom,GBR,2017,5.8378453
United Kingdom,GBR,2018,5.6886244
United Kingdom,GBR,2019,5.4350777
United Kingdom,GBR,2020,4.84416
United Kingdom,GBR,2021,5.059431
United Kingdom,GBR,2022,4.563232
United Kingdom,GBR,2023,4.481841
United Kingdom,GBR,2024,4.5257993
United States,USA,2000,21.39786
United States,USA,2001,20.766743
United States,USA,2002,20.718021
United States,USA,2003,20.718428
United States,USA,2004,20.873743
United States,USA,2005,20.71883
United States,USA,2006,20.236742
United States,USA,2007,20.28047
United States,USA,2008,19.409172
United States,USA,2009,17.81067
United States,USA,2010,18.22542
United States,USA,2011,17.634142
United States,USA,2012,16.812391
United States,USA,2013,17.09857
United States,USA,2014,17.118917
United States,USA,2015,16.461393
United States,USA,2016,15.934658
United States,USA,2017,15.639208
United States,USA,2018,16.000992
United States,USA,2019,15.500492
United States,USA,2020,13.8168955
United States,USA,2021,14.758024
United States,USA,2022,14.802047
United States,USA,2023,14.31945
United States,USA,2024,14.197287
