Entity,Code,Year,Annual precipitation
France,FRA,2018,1226.1344
France,FRA,2019,1078.5052
France,FRA,2020,1137.014
France,FRA,2021,1272.5216
France,FRA,2022,1143.8682
France,FRA,2023,1196.4672
France,FRA,2024,1237.7833
France,FRA,2025,1137.8484
Germany,DEU,2000,918.172
Germany,DEU,2001,1008.4868
Germany,DEU,2002,1062.0842
Germany,DEU,2003,637.5993
Germany,DEU,2004,861.1517
Germany,DEU,2005,843.92554
Germany,DEU,2006,813.86896
Germany,DEU,2007,1040.094
Germany,DEU,2008,870.26526
Germany,DEU,2009,900.0743
Germany,DEU,2010,970.4147
Germany,DEU,2011,791.7729
Germany,DEU,2012,894.59076
Germany,DEU,2013,908.7223
Germany,DEU,2014,858.37024
Germany,DEU,2015,802.5679
Germany,DEU,2016,837.37
Germany,DEU,2017,952.8395
Germany,DEU,2018,662.6127
Germany,DEU,2019,852.1982
Germany,DEU,2020,820.91364
Germany,DEU,2021,988.0402
Germany,DEU,2022,824.5667
Germany,DEU,2023,1033.5343
Germany,DEU,2024,1002.7741
Germany,DEU,2025,734.108
India,IND,2000,1079.3531
India,IND,2001,1107.9402
India,IND,2002,999.93604
India,IND,2003,1225.7537
India,IND,2004,1104.7363
India,IND,2005,1156.1407
India,IND,2006,1180.9954
India,IND,2007,1294.9424
India,IND,2008,1261.435
India,IND,2009,1115.5985
India,IND,2010,1351.2405
India,IND,2011,1250.4109
India,IND,2012,1133.577
India,IND,2013,1350.3315
India,IND,2014,1102.0253
India,IND,2015,1160.0048
India,IND,2016,1213.0835
India,IND,2017,1206.1223
India,IND,2018,1110.0332
India,IND,2019,1374.6685
India,IND,2020,1315.3904
India,IND,2021,1241.8716
India,IND,2022,1277.7179
India,IND,2023,1157.6791
India,IND,2024,1382.1575
India,IND,2025,1404.35
Indonesia,IDN,2000,3345.4768
Indonesia,IDN,2001,3229.5308
Indonesia,IDN,2002,2710.366
Indonesia,IDN,2003,3076.247
Indonesia,IDN,2004,2796.858
Indonesia,IDN,2005,3123.9282
Indonesia,IDN,2006,2938.029
Indonesia,IDN,2007,3324.9883
Indonesia,IDN,2008,3469.9106
Indonesia,IDN,2009,2958.5574
Indonesia,IDN,2010,3773.515
Indonesia,IDN,2011,3257.664
Indonesia,IDN,2012,3340.6816
Indonesia,IDN,2013,3652.3726
Indonesia,IDN,2014,3072.5667
Indonesia,IDN,2015,2802.0144
Indonesia,IDN,2016,3754.9534
Indonesia,IDN,2017,3661.763
Indonesia,IDN,2018,3210.189
Indonesia,IDN,2019,2868.7268
Indonesia,IDN,2020,3613.3914
Indonesia,IDN,2021,3506.876
Indonesia,IDN,2022,3572.854
Indonesia,IDN,2023,2951.8508
Indonesia,IDN,2024,3567.102
Indonesia,IDN,2025,3661.6367
Japan,JPN,2000,1754.5348
Japan,JPN,2001,1668.17
Japan,JPN,2002,1654.5751
Japan,JPN,2003,1817.3926
Japan,JPN,2004,1943.2725
Japan,JPN,2005,1488.8596
Japan,JPN,2006,1803.8998
Japan,JPN,2007,1536.8411
Japan,JPN,2008,1546.4927
Japan,JPN,2009,1755.1625
Japan,JPN,2010,1930.964
Japan,JPN,2011,1874.6235
Japan,JPN,2012,1798.8704
Japan,JPN,2013,1769.8966
Japan,JPN,2014,1799.4451
Japan,JPN,2015,1865.0631
Japan,JPN,2016,1925.7568
Japan,JPN,2017,1759.556
Japan,JPN,2018,1896.7704
Japan,JPN,2019,1740.861
Japan,JPN,2020,1922.7869
Japan,JPN,2021,1965.7185
Japan,JPN,2022,1708.3485
Japan,JPN,2023,1723.1647
Japan,JPN,2024,1954.8129
Japan,JPN,2025,1641.5981
Kenya,KEN,2000,487.31097
Kenya,KEN,2001,699.1121
Kenya,KEN,2002,721.69934
Kenya,KEN,2003,630.88367
Kenya,KEN,2004,679.4096
Kenya,KEN,2005,543.1577
Kenya,KEN,2006,891.52423
Kenya,KEN,2007,684.0099
Kenya,KEN,2008,597.96344
Kenya,KEN,2009,500.1391
Kenya,KEN,2010,739.14923
Kenya,KEN,2011,750.05554
Kenya,KEN,2012,731.0627
Kenya,KEN,2013,803.0355
Kenya,KEN,2014,661.5399
Kenya,KEN,2015,772.164
Kenya,KEN,2016,608.628
Kenya,KEN,2017,607.79553
Kenya,KEN,2018,892.2928
Kenya,KEN,2019,878.8429
Kenya,KEN,2020,962.36774
Kenya,KEN,2021,494.32962
Kenya,KEN,2022,434.32883
Kenya,KEN,2023,716.34454
Kenya,KEN,2024,753.8881
Kenya,KEN,2025,613.41644
Mexico,MEX,2000,746.1179
Mexico,MEX,2001,747.3975
Mexico,MEX,2002,758.5047
Mexico,MEX,2003,781.96356
Mexico,MEX,2004,785.67474
Mexico,MEX,2005,772.5759
Mexico,MEX,2006,847.7413
Mexico,MEX,2007,838.6962
Mexico,MEX,2008,909.85675
Mexico,MEX,2009,732.50433
Mexico,MEX,2010,952.2425
Mexico,MEX,2011,719.7797
Mexico,MEX,2012,758.83075
Mexico,MEX,2013,976.1554
Mexico,MEX,2014,876.6862
Mexico,MEX,2015,890.7116
Mexico,MEX,2016,833.8995
Mexico,MEX,2017,830.16376
Mexico,MEX,2018,853.41077
Mexico,MEX,2019,750.39996
Mexico,MEX,2020,763.4006
Mexico,MEX,2021,833.019
Mexico,MEX,2022,790.3192
Mexico,MEX,2023,629.33575
Mexico,MEX,2024,790.95264
Mexico,MEX,2025,809.08466
New Zealand,NZL,2000,1550.448
New Zealand,NZL,2001,1446.8987
New Zealand,NZL,2002,1532.0719
New Zealand,NZL,2003,1441.8708
New Zealand,NZL,2004,1729.3496
New Zealand,NZL,2005,1319.5797
New Zealand,NZL,2006,1608.8176
New Zealand,NZL,2007,1364.4967
New Zealand,NZL,2008,1486.2334
New Zealand,NZL,2009,1466.3411
New Zealand,NZL,2010,1631.8245
New Zealand,NZL,2011,1599.8217
New Zealand,NZL,2012,1516.8014
New Zealand,NZL,2013,1524.9801
New Zealand,NZL,2014,1507.2755
New Zealand,NZL,2015,1438.1108
New Zealand,NZL,2016,1650.5432
New Zealand,NZL,2017,1541.664
New Zealand,NZL,2018,1705.8408
New Zealand,NZL,2019,1582.6996
New Zealand,NZL,2020,1401.804
New Zealand,NZL,2021,1646.1963
New Zealand,NZL,2022,1697.9801
New Zealand,NZL,2023,1608.1401
New Zealand,NZL,2024,1490.4294
New Zealand,NZL,2025,1630.6798
Nigeria,NGA,2000,1033.0557
Nigeria,NGA,2001,997.7914
Nigeria,NGA,2002,1052.4893
Nigeria,NGA,2003,1007.9492
Nigeria,NGA,2004,1000.239
Nigeria,NGA,2005,989.0729
Nigeria,NGA,2006,1009.22906
Nigeria,NGA,2007,1039.7787
Nigeria,NGA,2008,1088.0194
Nigeria,NGA,2009,1036.3947
Nigeria,NGA,2010,1127.4283
Nigeria,NGA,2011,985.7702
Nigeria,NGA,2012,1193.8965
Nigeria,NGA,2013,1054.0533
Nigeria,NGA,2014,1176.6119
Nigeria,NGA,2015,1031.0835
Nigeria,NGA,2016,1179.597
Nigeria,NGA,2017,1052.8809
Nigeria,NGA,2018,1081.0972
Nigeria,NGA,2019,1263.9337
Nigeria,NGA,2020,1000.7318
Nigeria,NGA,2021,888.83246
Nigeria,NGA,2022,993.2653
Nigeria,NGA,2023,976.2443
Nigeria,NGA,2024,983.6813
Nigeria,NGA,2025,1016.62366
Peru,PER,2000,2175.439
Peru,PER,2001,2082.5178
Peru,PER,2002,2103.3376
Peru,PER,2003,2037.1682
Peru,PER,2004,1992.915
Peru,PER,2005,1905.1168
Peru,PER,2006,2030.7523
Peru,PER,2007,2065.724
Peru,PER,2008,2121.5903
Peru,PER,2009,2289.5515
Peru,PER,2010,1939.4572
Peru,PER,2011,2144.9683
Peru,PER,2012,2273.314
Peru,PER,2013,2205.8733
Peru,PER,2014,2265.0159
Peru,PER,2015,2263.44
Peru,PER,2016,2059.2112
Peru,PER,2017,2360.0337
Peru,PER,2018,2205.437
Peru,PER,2019,2363.106
Peru,PER,2020,2012.7318
Peru,PER,2021,2224.197
Peru,PER,2022,2002.5952
Peru,PER,2023,2097.3271
Peru,PER,2024,1948.659
Peru,PER,2025,2364.4592
South Africa,ZAF,2000,727.60333
South Africa,ZAF,2001,660.83093
South Africa,ZAF,2002,495.42773
South Africa,ZAF,2003,418.4659
South Africa,ZAF,2004,547.14325
South Africa,ZAF,2005,506.62524
South Africa,ZAF,2006,686.14594
South Africa,ZAF,2007,453.7892
South Africa,ZAF,2008,470.93863
South Africa,ZAF,2009,542.1961
South Africa,ZAF,2010,562.09875
South Africa,ZAF,2011,620.00305
South Africa,ZAF,2012,531.1585
South Africa,ZAF,2013,470.61734
South Africa,ZAF,2014,533.0056
South Africa,ZAF,2015,365.6211
South Africa,ZAF,2016,451.79883
South Africa,ZAF,2017,486.0393
South Africa,ZAF,2018,411.32565
South Africa,ZAF,2019,398.02875
South Africa,ZAF,2020,521.36444
South Africa,ZAF,2021,627.26984
South Africa,ZAF,2022,655.4537
South Africa,ZAF,2023,507.77887
South Africa,ZAF,2024,402.73434
South Africa,ZAF,2025,652.16516
Sweden,SWE,2000,944.41833
Sweden,SWE,2001,816.4274
Sweden,SWE,2002,696.7164
Sweden,SWE,2003,710.4345
Sweden,SWE,2004,780.0792
Sweden,SWE,2005,770.87164
Sweden,SWE,2006,820.3841
Sweden,SWE,2007,772.3076
Sweden,SWE,2008,805.5207
Sweden,SWE,2009,782.6331
Sweden,SWE,2010,764.4429
Sweden,SWE,2011,869.70374
Sweden,SWE,2012,927.29944
Sweden,SWE,2013,725.1025
Sweden,SWE,2014,787.8814
Sweden,SWE,2015,886.34106
Sweden,SWE,2016,733.9824
Sweden,SWE,2017,825.50195
Sweden,SWE,2018,636.3252
Sweden,SWE,2019,848.49744
Sweden,SWE,2020,854.1523
Sweden,SWE,2021,810.0703
Sweden,SWE,2022,769.7682
Sweden,SWE,2023,868.71027
Sweden,SWE,2024,855.46484
Sweden,SWE,2025,809.91144
United Kingdom,GBR,2000,1217.7625
United Kingdom,GBR,2001,979.25684
United Kingdom,GBR,2002,1131.2045
United Kingdom,GBR,2003,846.4629
United Kingdom,GBR,2004,1078.6025
United Kingdom,GBR,2005,969.3571
United Kingdom,GBR,2006,1052.4624
United Kingdom,GBR,2007,1076.5902
United Kingdom,GBR,2008,1161.6356
United Kingdom,GBR,2009,1078.571
United Kingdom,GBR,2010,874.48865
United Kingdom,GBR,2011,1026.4492
United Kingdom,GBR,2012,1224.9493
United Kingdom,GBR,2013,976.55945
United Kingdom,GBR,2014,1176.3936
United Kingdom,GBR,2015,1136.916
United Kingdom,GBR,2016,996.04114
United Kingdom,GBR,2017,1023.77045
United Kingdom,GBR,2018,972.36957
United Kingdom,GBR,2019,1144.0614
United Kingdom,GBR,2020,1181.3411
United Kingdom,GBR,2021,1062.8793
United Kingdom,GBR,2022,1031.2336
United Kingdom,GBR,2023,1178.6658
United Kingdom,GBR,2024,1146.2097
United Kingdom,GBR,2025,962.5301
United States,USA,2000,770.74084
United States,USA,2001,771.66174
United States,USA,2002,784.2211
United States,USA,2003,805.9684
United States,USA,2004,858.4184
United States,USA,2005,792.345
United States,USA,2006,789.2378
United States,USA,2007,750.17535
United States,USA,2008,817.4463
United States,USA,2009,839.14166
United States,USA,2010,802.9233
United States,USA,2011,799.35376
United States,USA,2012,725.9574
United States,USA,2013,811.2086
United States,USA,2014,796.811
United States,USA,2015,868.93414
United States,USA,2016,826.104
United States,USA,2017,871.91254
United States,USA,2018,923.7871
United States,USA,2019,938.009
United States,USA,2020,813.39215
United States,USA,2021,834.5193
United States,USA,2022,797.21136
United States,USA,2023,815.2017
United States,USA,2024,858.6642
United States,USA,2025,810.4031
